Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.043372879e+02
2,1419404347.826087,-1.043452225e+02
3,1419408695.652174,-1.043332062e+02
4,1419413043.478261,-1.042966003e+02
5,1419417391.304348,-1.044102097e+02
6,1419421739.130435,-1.043966217e+02
7,1419426086.956522,-1.044347305e+02
8,1419430434.782609,-1.044768982e+02
9,1419434782.608696,-1.043383484e+02
10,1419439130.434783,-1.043636246e+02
11,1419443478.260870,-1.043918381e+02
12,1419447826.086957,-1.043487549e+02
13,1419452173.913043,-1.043766479e+02
14,1419456521.739130,-1.043901443e+02
15,1419460869.565217,-1.043864365e+02
16,1419465217.391304,-1.043726501e+02
17,1419469565.217391,-1.043642654e+02
18,1419473913.043478,-1.042923889e+02
19,1419478260.869565,-1.043818893e+02
20,1419482608.695652,-1.044288177e+02
21,1419486956.521739,-1.043704224e+02
22,1419491304.347826,-1.042876282e+02
23,1419495652.173913,-1.043724518e+02
24,1419500000.000000,-1.043894730e+02
25,1419504347.826087,-1.042720032e+02
26,1419508695.652174,-1.042619171e+02
27,1419513043.478261,-1.043012466e+02
28,1419517391.304348,-1.043038330e+02
29,1419521739.130435,-1.042973175e+02
30,1419526086.956522,-1.044074860e+02
31,1419530434.782609,-1.043002701e+02
32,1419534782.608696,-1.043334503e+02
33,1419539130.434783,-1.043684006e+02
34,1419543478.260870,-1.043374176e+02
35,1419547826.086957,-1.043161240e+02
36,1419552173.913043,-1.043374405e+02
37,1419556521.739130,-1.043357544e+02
38,1419560869.565217,-1.044596634e+02
39,1419565217.391304,-1.044150009e+02
40,1419569565.217391,-1.043016891e+02
41,1419573913.043478,-1.043676605e+02
42,1419578260.869565,-1.043273773e+02
43,1419582608.695652,-1.043544388e+02
44,1419586956.521739,-1.043604584e+02
45,1419591304.347826,-1.044047394e+02
46,1419595652.173913,-1.044088974e+02
47,1419600000.000000,-1.044251862e+02
48,1419604347.826087,-1.043473053e+02
49,1419608695.652174,-1.044045334e+02
50,1419613043.478261,-1.044288788e+02
51,1419617391.304348,-1.044402771e+02
52,1419621739.130435,-1.043622360e+02
53,1419626086.956522,-1.043989639e+02
54,1419630434.782609,-1.044162445e+02
55,1419634782.608696,-1.043695831e+02
56,1419639130.434783,-1.043853989e+02
57,1419643478.260870,-1.043116455e+02
58,1419647826.086957,-1.042944946e+02
59,1419652173.913043,-1.043043976e+02
60,1419656521.739130,-1.042901154e+02
61,1419660869.565217,-1.043194427e+02
62,1419665217.391304,-1.043894119e+02
63,1419669565.217391,-1.044391251e+02
64,1419673913.043478,-1.043524704e+02
65,1419678260.869565,-1.043854370e+02
66,1419682608.695652,-1.043380585e+02
67,1419686956.521739,-1.043859253e+02
68,1419691304.347826,-1.043471527e+02
69,1419695652.173913,-1.043853531e+02
70,1419700000.000000,-1.043306885e+02
71,1419704347.826087,-1.043458481e+02
72,1419708695.652174,-1.043515625e+02
73,1419713043.478261,-1.044658966e+02
74,1419717391.304348,-1.044622955e+02
75,1419721739.130435,-1.043421249e+02
76,1419726086.956522,-1.043437119e+02
77,1419730434.782609,-1.043382950e+02
78,1419734782.608696,-1.042442398e+02
79,1419739130.434783,-1.043594131e+02
80,1419743478.260870,-1.043588257e+02
81,1419747826.086957,-1.044314804e+02
82,1419752173.913043,-1.043760223e+02
83,1419756521.739130,-1.043586426e+02
84,1419760869.565217,-1.043853836e+02
85,1419765217.391304,-1.043338928e+02
86,1419769565.217391,-1.044281158e+02
87,1419773913.043478,-1.043777771e+02
88,1419778260.869565,-1.043456497e+02
89,1419782608.695652,-1.043777237e+02
90,1419786956.521739,-1.044416504e+02
91,1419791304.347826,-1.044318390e+02
92,1419795652.173913,-1.043957672e+02
93,1419800000.000000,-1.043342514e+02
94,1419804347.826087,-1.043495941e+02
95,1419808695.652174,-1.043932648e+02
96,1419813043.478261,-1.043630676e+02
97,1419817391.304348,-1.043344193e+02
98,1419821739.130435,-1.043276596e+02
99,1419826086.956522,-1.044300766e+02
100,1419830434.782609,-1.042981339e+02
101,1419834782.608696,-1.042862091e+02
102,1419839130.434783,-1.043148575e+02
103,1419843478.260870,-1.043296585e+02
104,1419847826.086957,-1.043048477e+02
105,1419852173.913043,-1.042790146e+02
106,1419856521.739130,-1.043205719e+02
107,1419860869.565217,-1.042983551e+02
108,1419865217.391304,-1.042779160e+02
109,1419869565.217391,-1.042537384e+02
110,1419873913.043478,-1.043214264e+02
111,1419878260.869565,-1.043523483e+02
112,1419882608.695652,-1.043573837e+02
113,1419886956.521739,-1.042896805e+02
114,1419891304.347826,-1.042783279e+02
115,1419895652.173913,-1.042514038e+02
116,1419900000.000000,-1.043035583e+02
117,1419904347.826087,-1.043527756e+02
118,1419908695.652174,-1.043781204e+02
119,1419913043.478261,-1.043341675e+02
120,1419917391.304348,-1.043183289e+02
121,1419921739.130435,-1.043851929e+02
122,1419926086.956522,-1.043780060e+02
123,1419930434.782609,-1.043987885e+02
124,1419934782.608696,-1.044774017e+02
125,1419939130.434783,-1.044351425e+02
126,1419943478.260870,-1.044168015e+02
127,1419947826.086957,-1.043985062e+02
128,1419952173.913043,-1.044627762e+02
129,1419956521.739130,-1.044472809e+02
130,1419960869.565217,-1.043658524e+02
131,1419965217.391304,-1.044053192e+02
132,1419969565.217391,-1.044119415e+02
133,1419973913.043478,-1.044415741e+02
134,1419978260.869565,-1.044648209e+02
135,1419982608.695652,-1.043762131e+02
136,1419986956.521739,-1.043448257e+02
137,1419991304.347826,-1.044255753e+02
138,1419995652.173913,-1.044391785e+02
139,1420000000.000000,-1.044374084e+02
140,1420004347.826087,-1.044627914e+02
141,1420008695.652174,-1.044290924e+02
142,1420013043.478261,-1.044023666e+02
143,1420017391.304348,-1.044058533e+02
144,1420021739.130435,-1.043839645e+02
145,1420026086.956522,-1.043686371e+02
146,1420030434.782609,-1.043426743e+02
147,1420034782.608696,-1.043131256e+02
148,1420039130.434783,-1.043280411e+02
149,1420043478.260870,-1.043528976e+02
150,1420047826.086957,-1.043444138e+02
151,1420052173.913043,-1.043275223e+02
152,1420056521.739130,-1.042821960e+02
153,1420060869.565217,-1.042786255e+02
154,1420065217.391304,-1.042281113e+02
155,1420069565.217391,-1.041962662e+02
156,1420073913.043478,-1.041012726e+02
157,1420078260.869565,-1.042279434e+02
158,1420082608.695652,-1.041161118e+02
159,1420086956.521739,-1.040871658e+02
160,1420091304.347826,-1.041324844e+02
161,1420095652.173913,-1.040573654e+02
162,1420100000.000000,-1.040403442e+02
163,1420104347.826087,-1.040253296e+02
164,1420108695.652174,-1.040691071e+02
165,1420113043.478261,-1.039629669e+02
166,1420117391.304348,-1.038966675e+02
167,1420121739.130435,-1.039200439e+02
168,1420126086.956522,-1.039228287e+02
169,1420130434.782609,-1.038016205e+02
170,1420134782.608696,-1.037626724e+02
171,1420139130.434783,-1.038696899e+02
172,1420143478.260870,-1.036351089e+02
173,1420147826.086957,-1.036499939e+02
174,1420152173.913043,-1.036455994e+02
175,1420156521.739130,-1.035686493e+02
176,1420160869.565217,-1.034622803e+02
177,1420165217.391304,-1.033944244e+02
178,1420169565.217391,-1.034494934e+02
179,1420173913.043478,-1.034638214e+02
180,1420178260.869565,-1.033278046e+02
181,1420182608.695652,-1.032529144e+02
182,1420186956.521739,-1.032957764e+02
183,1420191304.347826,-1.031997528e+02
