Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.044510956e+02
2,1419404347.826087,-1.044512405e+02
3,1419408695.652174,-1.045010223e+02
4,1419413043.478261,-1.044672623e+02
5,1419417391.304348,-1.045184479e+02
6,1419421739.130435,-1.044768143e+02
7,1419426086.956522,-1.045713882e+02
8,1419430434.782609,-1.045056000e+02
9,1419434782.608696,-1.044783325e+02
10,1419439130.434783,-1.045273666e+02
11,1419443478.260870,-1.044846039e+02
12,1419447826.086957,-1.046034164e+02
13,1419452173.913043,-1.045437775e+02
14,1419456521.739130,-1.045814667e+02
15,1419460869.565217,-1.046595459e+02
16,1419465217.391304,-1.046090851e+02
17,1419469565.217391,-1.045441818e+02
18,1419473913.043478,-1.045153732e+02
19,1419478260.869565,-1.045512924e+02
20,1419482608.695652,-1.045678787e+02
21,1419486956.521739,-1.044762802e+02
22,1419491304.347826,-1.044338531e+02
23,1419495652.173913,-1.045149689e+02
24,1419500000.000000,-1.045331268e+02
25,1419504347.826087,-1.044990997e+02
26,1419508695.652174,-1.046151428e+02
27,1419513043.478261,-1.045315628e+02
28,1419517391.304348,-1.045414581e+02
29,1419521739.130435,-1.045397568e+02
30,1419526086.956522,-1.044769897e+02
31,1419530434.782609,-1.044880753e+02
32,1419534782.608696,-1.046068497e+02
33,1419539130.434783,-1.045524521e+02
34,1419543478.260870,-1.045494843e+02
35,1419547826.086957,-1.044792557e+02
36,1419552173.913043,-1.046058655e+02
37,1419556521.739130,-1.045348511e+02
38,1419560869.565217,-1.044294815e+02
39,1419565217.391304,-1.044501343e+02
40,1419569565.217391,-1.045228729e+02
41,1419573913.043478,-1.044961014e+02
42,1419578260.869565,-1.045197830e+02
43,1419582608.695652,-1.045696335e+02
44,1419586956.521739,-1.045487595e+02
45,1419591304.347826,-1.045145035e+02
46,1419595652.173913,-1.045857773e+02
47,1419600000.000000,-1.045534515e+02
48,1419604347.826087,-1.045345306e+02
49,1419608695.652174,-1.045009155e+02
50,1419613043.478261,-1.045886002e+02
51,1419617391.304348,-1.045150604e+02
52,1419621739.130435,-1.045610123e+02
53,1419626086.956522,-1.045530090e+02
54,1419630434.782609,-1.045609360e+02
55,1419634782.608696,-1.044828720e+02
56,1419639130.434783,-1.044831467e+02
57,1419643478.260870,-1.045392151e+02
58,1419647826.086957,-1.044664078e+02
59,1419652173.913043,-1.044749908e+02
60,1419656521.739130,-1.044916382e+02
61,1419660869.565217,-1.045780792e+02
62,1419665217.391304,-1.045298386e+02
63,1419669565.217391,-1.044991455e+02
64,1419673913.043478,-1.045871658e+02
65,1419678260.869565,-1.045361557e+02
66,1419682608.695652,-1.045781708e+02
67,1419686956.521739,-1.045573196e+02
68,1419691304.347826,-1.045083008e+02
69,1419695652.173913,-1.045488358e+02
70,1419700000.000000,-1.045432281e+02
71,1419704347.826087,-1.045063171e+02
72,1419708695.652174,-1.045991287e+02
73,1419713043.478261,-1.045072556e+02
74,1419717391.304348,-1.044861374e+02
75,1419721739.130435,-1.045458603e+02
76,1419726086.956522,-1.045314636e+02
77,1419730434.782609,-1.045410461e+02
78,1419734782.608696,-1.045083237e+02
79,1419739130.434783,-1.044192581e+02
80,1419743478.260870,-1.045037155e+02
81,1419747826.086957,-1.045165100e+02
82,1419752173.913043,-1.045064011e+02
83,1419756521.739130,-1.045249252e+02
84,1419760869.565217,-1.044876862e+02
85,1419765217.391304,-1.044980774e+02
86,1419769565.217391,-1.045218887e+02
87,1419773913.043478,-1.044998932e+02
88,1419778260.869565,-1.044836044e+02
89,1419782608.695652,-1.045331573e+02
90,1419786956.521739,-1.045105133e+02
91,1419791304.347826,-1.044483795e+02
92,1419795652.173913,-1.044890671e+02
93,1419800000.000000,-1.044798813e+02
94,1419804347.826087,-1.044376373e+02
95,1419808695.652174,-1.044347153e+02
96,1419813043.478261,-1.045184555e+02
97,1419817391.304348,-1.044488754e+02
98,1419821739.130435,-1.045069580e+02
99,1419826086.956522,-1.045054092e+02
100,1419830434.782609,-1.045437088e+02
101,1419834782.608696,-1.045073624e+02
102,1419839130.434783,-1.045461121e+02
103,1419843478.260870,-1.045001678e+02
104,1419847826.086957,-1.045582657e+02
105,1419852173.913043,-1.046020279e+02
106,1419856521.739130,-1.046048050e+02
107,1419860869.565217,-1.045259476e+02
108,1419865217.391304,-1.045227509e+02
109,1419869565.217391,-1.045201035e+02
110,1419873913.043478,-1.045988617e+02
111,1419878260.869565,-1.045334091e+02
112,1419882608.695652,-1.045063553e+02
113,1419886956.521739,-1.045060959e+02
114,1419891304.347826,-1.044322968e+02
115,1419895652.173913,-1.045250168e+02
116,1419900000.000000,-1.045041428e+02
117,1419904347.826087,-1.045542221e+02
118,1419908695.652174,-1.045093002e+02
119,1419913043.478261,-1.045248871e+02
120,1419917391.304348,-1.045430679e+02
121,1419921739.130435,-1.045338211e+02
122,1419926086.956522,-1.045620117e+02
123,1419930434.782609,-1.045346146e+02
124,1419934782.608696,-1.045133133e+02
125,1419939130.434783,-1.045027390e+02
126,1419943478.260870,-1.045026550e+02
127,1419947826.086957,-1.045943756e+02
128,1419952173.913043,-1.045157089e+02
129,1419956521.739130,-1.045265503e+02
130,1419960869.565217,-1.045045471e+02
131,1419965217.391304,-1.044788208e+02
132,1419969565.217391,-1.045810699e+02
133,1419973913.043478,-1.045422287e+02
134,1419978260.869565,-1.045266953e+02
135,1419982608.695652,-1.045689926e+02
136,1419986956.521739,-1.046087570e+02
137,1419991304.347826,-1.045520477e+02
138,1419995652.173913,-1.044640808e+02
139,1420000000.000000,-1.045383148e+02
140,1420004347.826087,-1.044871750e+02
141,1420008695.652174,-1.045315018e+02
142,1420013043.478261,-1.045660172e+02
143,1420017391.304348,-1.045319748e+02
144,1420021739.130435,-1.045003510e+02
145,1420026086.956522,-1.045402145e+02
146,1420030434.782609,-1.045859146e+02
147,1420034782.608696,-1.044593811e+02
148,1420039130.434783,-1.045200500e+02
149,1420043478.260870,-1.045362625e+02
150,1420047826.086957,-1.045219345e+02
151,1420052173.913043,-1.044745560e+02
152,1420056521.739130,-1.045302582e+02
153,1420060869.565217,-1.044044571e+02
154,1420065217.391304,-1.044405975e+02
155,1420069565.217391,-1.044728775e+02
156,1420073913.043478,-1.044366760e+02
157,1420078260.869565,-1.044333191e+02
158,1420082608.695652,-1.044149780e+02
159,1420086956.521739,-1.044454727e+02
160,1420091304.347826,-1.043919067e+02
161,1420095652.173913,-1.043726273e+02
162,1420100000.000000,-1.043576889e+02
163,1420104347.826087,-1.043307953e+02
164,1420108695.652174,-1.043379745e+02
165,1420113043.478261,-1.042570190e+02
166,1420117391.304348,-1.042815781e+02
167,1420121739.130435,-1.041951828e+02
168,1420126086.956522,-1.041293335e+02
169,1420130434.782609,-1.041258163e+02
170,1420134782.608696,-1.041694260e+02
171,1420139130.434783,-1.041063080e+02
172,1420143478.260870,-1.040852203e+02
173,1420147826.086957,-1.039873123e+02
174,1420152173.913043,-1.039242554e+02
175,1420156521.739130,-1.038808517e+02
176,1420160869.565217,-1.038557510e+02
177,1420165217.391304,-1.038484192e+02
178,1420169565.217391,-1.038262100e+02
179,1420173913.043478,-1.037905121e+02
180,1420178260.869565,-1.037052002e+02
181,1420182608.695652,-1.037034302e+02
182,1420186956.521739,-1.036163177e+02
183,1420191304.347826,-1.036136551e+02
