Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.042372665e+02
2,1419404347.826087,-1.042175522e+02
3,1419408695.652174,-1.043100052e+02
4,1419413043.478261,-1.042469559e+02
5,1419417391.304348,-1.041096497e+02
6,1419421739.130435,-1.040950546e+02
7,1419426086.956522,-1.040771255e+02
8,1419430434.782609,-1.042246246e+02
9,1419434782.608696,-1.042035141e+02
10,1419439130.434783,-1.042801361e+02
11,1419443478.260870,-1.041555862e+02
12,1419447826.086957,-1.042880020e+02
13,1419452173.913043,-1.041766281e+02
14,1419456521.739130,-1.042123718e+02
15,1419460869.565217,-1.043036194e+02
16,1419465217.391304,-1.043118286e+02
17,1419469565.217391,-1.043211288e+02
18,1419473913.043478,-1.043677521e+02
19,1419478260.869565,-1.042822876e+02
20,1419482608.695652,-1.042385406e+02
21,1419486956.521739,-1.044408722e+02
22,1419491304.347826,-1.042045670e+02
23,1419495652.173913,-1.042687225e+02
24,1419500000.000000,-1.043161011e+02
25,1419504347.826087,-1.042706528e+02
26,1419508695.652174,-1.042917023e+02
27,1419513043.478261,-1.042684784e+02
28,1419517391.304348,-1.043305283e+02
29,1419521739.130435,-1.043625946e+02
30,1419526086.956522,-1.042334976e+02
31,1419530434.782609,-1.042179565e+02
32,1419534782.608696,-1.042998352e+02
33,1419539130.434783,-1.043152847e+02
34,1419543478.260870,-1.042813873e+02
35,1419547826.086957,-1.043211899e+02
36,1419552173.913043,-1.042381973e+02
37,1419556521.739130,-1.041922302e+02
38,1419560869.565217,-1.041664200e+02
39,1419565217.391304,-1.042712479e+02
40,1419569565.217391,-1.041369705e+02
41,1419573913.043478,-1.040768585e+02
42,1419578260.869565,-1.039835510e+02
43,1419582608.695652,-1.041364822e+02
44,1419586956.521739,-1.042266464e+02
45,1419591304.347826,-1.041850739e+02
46,1419595652.173913,-1.043246307e+02
47,1419600000.000000,-1.043397675e+02
48,1419604347.826087,-1.042885513e+02
49,1419608695.652174,-1.043433151e+02
50,1419613043.478261,-1.043603745e+02
51,1419617391.304348,-1.042999725e+02
52,1419621739.130435,-1.043175278e+02
53,1419626086.956522,-1.042141418e+02
54,1419630434.782609,-1.041573029e+02
55,1419634782.608696,-1.042215500e+02
56,1419639130.434783,-1.043079376e+02
57,1419643478.260870,-1.043157883e+02
58,1419647826.086957,-1.043206635e+02
59,1419652173.913043,-1.042901382e+02
60,1419656521.739130,-1.043296432e+02
61,1419660869.565217,-1.041867599e+02
62,1419665217.391304,-1.042357330e+02
63,1419669565.217391,-1.041066284e+02
64,1419673913.043478,-1.041721573e+02
65,1419678260.869565,-1.041330032e+02
66,1419682608.695652,-1.040934296e+02
67,1419686956.521739,-1.040046616e+02
68,1419691304.347826,-1.041134644e+02
69,1419695652.173913,-1.041228104e+02
70,1419700000.000000,-1.041923828e+02
71,1419704347.826087,-1.041757278e+02
72,1419708695.652174,-1.041468048e+02
73,1419713043.478261,-1.040959549e+02
74,1419717391.304348,-1.040642242e+02
75,1419721739.130435,-1.041129379e+02
76,1419726086.956522,-1.041621475e+02
77,1419730434.782609,-1.041787872e+02
78,1419734782.608696,-1.041472626e+02
79,1419739130.434783,-1.040696259e+02
80,1419743478.260870,-1.040746155e+02
81,1419747826.086957,-1.041042938e+02
82,1419752173.913043,-1.041476288e+02
83,1419756521.739130,-1.041518478e+02
84,1419760869.565217,-1.041249084e+02
85,1419765217.391304,-1.041115265e+02
86,1419769565.217391,-1.041124420e+02
87,1419773913.043478,-1.042454910e+02
88,1419778260.869565,-1.042187805e+02
89,1419782608.695652,-1.041969681e+02
90,1419786956.521739,-1.042515259e+02
91,1419791304.347826,-1.041771164e+02
92,1419795652.173913,-1.041808853e+02
93,1419800000.000000,-1.041790390e+02
94,1419804347.826087,-1.041957397e+02
95,1419808695.652174,-1.041822739e+02
96,1419813043.478261,-1.042267990e+02
97,1419817391.304348,-1.043368530e+02
98,1419821739.130435,-1.042812805e+02
99,1419826086.956522,-1.042864380e+02
100,1419830434.782609,-1.042961044e+02
101,1419834782.608696,-1.042785873e+02
102,1419839130.434783,-1.043715210e+02
103,1419843478.260870,-1.042748871e+02
104,1419847826.086957,-1.043209991e+02
105,1419852173.913043,-1.042396011e+02
106,1419856521.739130,-1.042138062e+02
107,1419860869.565217,-1.042613983e+02
108,1419865217.391304,-1.042835846e+02
109,1419869565.217391,-1.042358551e+02
110,1419873913.043478,-1.042348099e+02
111,1419878260.869565,-1.043267822e+02
112,1419882608.695652,-1.042494736e+02
113,1419886956.521739,-1.042480240e+02
114,1419891304.347826,-1.042374268e+02
115,1419895652.173913,-1.041254196e+02
116,1419900000.000000,-1.041930847e+02
117,1419904347.826087,-1.041772537e+02
118,1419908695.652174,-1.042374878e+02
119,1419913043.478261,-1.042609787e+02
120,1419917391.304348,-1.043042679e+02
121,1419921739.130435,-1.042278671e+02
122,1419926086.956522,-1.042876740e+02
123,1419930434.782609,-1.043437805e+02
124,1419934782.608696,-1.043468399e+02
125,1419939130.434783,-1.043446960e+02
126,1419943478.260870,-1.043093719e+02
127,1419947826.086957,-1.043962402e+02
128,1419952173.913043,-1.043016434e+02
129,1419956521.739130,-1.042854614e+02
130,1419960869.565217,-1.043027496e+02
131,1419965217.391304,-1.043410339e+02
132,1419969565.217391,-1.043082428e+02
133,1419973913.043478,-1.043130493e+02
134,1419978260.869565,-1.043066025e+02
135,1419982608.695652,-1.042687149e+02
136,1419986956.521739,-1.042392197e+02
137,1419991304.347826,-1.043480682e+02
138,1419995652.173913,-1.041781158e+02
139,1420000000.000000,-1.041818848e+02
140,1420004347.826087,-1.041631088e+02
141,1420008695.652174,-1.042243881e+02
142,1420013043.478261,-1.042476044e+02
143,1420017391.304348,-1.042773132e+02
144,1420021739.130435,-1.041577911e+02
145,1420026086.956522,-1.042076263e+02
146,1420030434.782609,-1.042184753e+02
147,1420034782.608696,-1.041575699e+02
148,1420039130.434783,-1.040803299e+02
149,1420043478.260870,-1.039765472e+02
150,1420047826.086957,-1.040018616e+02
151,1420052173.913043,-1.039645462e+02
152,1420056521.739130,-1.038336258e+02
153,1420060869.565217,-1.038197327e+02
154,1420065217.391304,-1.038069229e+02
155,1420069565.217391,-1.038108368e+02
156,1420073913.043478,-1.038018417e+02
157,1420078260.869565,-1.037347183e+02
158,1420082608.695652,-1.036837387e+02
159,1420086956.521739,-1.036549301e+02
160,1420091304.347826,-1.036223679e+02
161,1420095652.173913,-1.036771927e+02
162,1420100000.000000,-1.036705170e+02
163,1420104347.826087,-1.035786819e+02
164,1420108695.652174,-1.035563354e+02
165,1420113043.478261,-1.034426117e+02
166,1420117391.304348,-1.034589539e+02
167,1420121739.130435,-1.034365540e+02
168,1420126086.956522,-1.033688202e+02
169,1420130434.782609,-1.033303757e+02
170,1420134782.608696,-1.033376617e+02
171,1420139130.434783,-1.031722107e+02
172,1420143478.260870,-1.032490692e+02
173,1420147826.086957,-1.031302109e+02
174,1420152173.913043,-1.031008835e+02
175,1420156521.739130,-1.030548782e+02
176,1420160869.565217,-1.030168915e+02
177,1420165217.391304,-1.030857086e+02
178,1420169565.217391,-1.030926971e+02
179,1420173913.043478,-1.029818268e+02
180,1420178260.869565,-1.030232010e+02
181,1420182608.695652,-1.029144745e+02
182,1420186956.521739,-1.030942383e+02
183,1420191304.347826,-1.030099945e+02
