Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.045833130e+02
2,1419404347.826087,-1.046364594e+02
3,1419408695.652174,-1.046480026e+02
4,1419413043.478261,-1.045953522e+02
5,1419417391.304348,-1.046218262e+02
6,1419421739.130435,-1.046204834e+02
7,1419426086.956522,-1.046178436e+02
8,1419430434.782609,-1.045910645e+02
9,1419434782.608696,-1.047208023e+02
10,1419439130.434783,-1.047637405e+02
11,1419443478.260870,-1.046456833e+02
12,1419447826.086957,-1.046125946e+02
13,1419452173.913043,-1.045330505e+02
14,1419456521.739130,-1.046451187e+02
15,1419460869.565217,-1.045088196e+02
16,1419465217.391304,-1.044928818e+02
17,1419469565.217391,-1.045246887e+02
18,1419473913.043478,-1.044827805e+02
19,1419478260.869565,-1.044402008e+02
20,1419482608.695652,-1.045170898e+02
21,1419486956.521739,-1.044846420e+02
22,1419491304.347826,-1.045927811e+02
23,1419495652.173913,-1.045395203e+02
24,1419500000.000000,-1.045516281e+02
25,1419504347.826087,-1.044900970e+02
26,1419508695.652174,-1.045702133e+02
27,1419513043.478261,-1.045140686e+02
28,1419517391.304348,-1.045168991e+02
29,1419521739.130435,-1.045301819e+02
30,1419526086.956522,-1.046204147e+02
31,1419530434.782609,-1.045883484e+02
32,1419534782.608696,-1.046416626e+02
33,1419539130.434783,-1.045809250e+02
34,1419543478.260870,-1.046428986e+02
35,1419547826.086957,-1.045176086e+02
36,1419552173.913043,-1.045662155e+02
37,1419556521.739130,-1.046740265e+02
38,1419560869.565217,-1.046331787e+02
39,1419565217.391304,-1.046481171e+02
40,1419569565.217391,-1.046587524e+02
41,1419573913.043478,-1.045368195e+02
42,1419578260.869565,-1.044678650e+02
43,1419582608.695652,-1.046618576e+02
44,1419586956.521739,-1.046105042e+02
45,1419591304.347826,-1.046264877e+02
46,1419595652.173913,-1.046281281e+02
47,1419600000.000000,-1.046383133e+02
48,1419604347.826087,-1.046528320e+02
49,1419608695.652174,-1.045659790e+02
50,1419613043.478261,-1.045554810e+02
51,1419617391.304348,-1.045979385e+02
52,1419621739.130435,-1.046430435e+02
53,1419626086.956522,-1.046661301e+02
54,1419630434.782609,-1.046572952e+02
55,1419634782.608696,-1.046490555e+02
56,1419639130.434783,-1.046353302e+02
57,1419643478.260870,-1.046107559e+02
58,1419647826.086957,-1.046773758e+02
59,1419652173.913043,-1.046384430e+02
60,1419656521.739130,-1.045928802e+02
61,1419660869.565217,-1.046812210e+02
62,1419665217.391304,-1.046571579e+02
63,1419669565.217391,-1.046425781e+02
64,1419673913.043478,-1.047274857e+02
65,1419678260.869565,-1.046590881e+02
66,1419682608.695652,-1.046735687e+02
67,1419686956.521739,-1.046846237e+02
68,1419691304.347826,-1.047472916e+02
69,1419695652.173913,-1.046999130e+02
70,1419700000.000000,-1.046513672e+02
71,1419704347.826087,-1.046941147e+02
72,1419708695.652174,-1.045891190e+02
73,1419713043.478261,-1.046980820e+02
74,1419717391.304348,-1.046824188e+02
75,1419721739.130435,-1.046391525e+02
76,1419726086.956522,-1.046136627e+02
77,1419730434.782609,-1.046051254e+02
78,1419734782.608696,-1.046012115e+02
79,1419739130.434783,-1.046164856e+02
80,1419743478.260870,-1.046141815e+02
81,1419747826.086957,-1.046136780e+02
82,1419752173.913043,-1.045754013e+02
83,1419756521.739130,-1.047005234e+02
84,1419760869.565217,-1.046755981e+02
85,1419765217.391304,-1.045998001e+02
86,1419769565.217391,-1.045713272e+02
87,1419773913.043478,-1.046361465e+02
88,1419778260.869565,-1.046457214e+02
89,1419782608.695652,-1.046464539e+02
90,1419786956.521739,-1.045814819e+02
91,1419791304.347826,-1.045493698e+02
92,1419795652.173913,-1.045840607e+02
93,1419800000.000000,-1.046599884e+02
94,1419804347.826087,-1.046063766e+02
95,1419808695.652174,-1.045595474e+02
96,1419813043.478261,-1.046342926e+02
97,1419817391.304348,-1.045480347e+02
98,1419821739.130435,-1.046187897e+02
99,1419826086.956522,-1.047348709e+02
100,1419830434.782609,-1.047058411e+02
101,1419834782.608696,-1.046349640e+02
102,1419839130.434783,-1.046341553e+02
103,1419843478.260870,-1.046689606e+02
104,1419847826.086957,-1.046820068e+02
105,1419852173.913043,-1.046919403e+02
106,1419856521.739130,-1.046523056e+02
107,1419860869.565217,-1.046780319e+02
108,1419865217.391304,-1.047172012e+02
109,1419869565.217391,-1.047103577e+02
110,1419873913.043478,-1.047076721e+02
111,1419878260.869565,-1.047018814e+02
112,1419882608.695652,-1.046749191e+02
113,1419886956.521739,-1.046810455e+02
114,1419891304.347826,-1.046514359e+02
115,1419895652.173913,-1.046794891e+02
116,1419900000.000000,-1.046807938e+02
117,1419904347.826087,-1.047851105e+02
118,1419908695.652174,-1.047109528e+02
119,1419913043.478261,-1.046016922e+02
120,1419917391.304348,-1.046908875e+02
121,1419921739.130435,-1.046746674e+02
122,1419926086.956522,-1.047579193e+02
123,1419930434.782609,-1.046646194e+02
124,1419934782.608696,-1.046380539e+02
125,1419939130.434783,-1.046612167e+02
126,1419943478.260870,-1.046453323e+02
127,1419947826.086957,-1.046940918e+02
128,1419952173.913043,-1.047115707e+02
129,1419956521.739130,-1.045996170e+02
130,1419960869.565217,-1.047059097e+02
131,1419965217.391304,-1.046719055e+02
132,1419969565.217391,-1.046327820e+02
133,1419973913.043478,-1.046740723e+02
134,1419978260.869565,-1.046936340e+02
135,1419982608.695652,-1.046646576e+02
136,1419986956.521739,-1.046456909e+02
137,1419991304.347826,-1.045743408e+02
138,1419995652.173913,-1.046328125e+02
139,1420000000.000000,-1.046998520e+02
140,1420004347.826087,-1.046563339e+02
141,1420008695.652174,-1.046269836e+02
142,1420013043.478261,-1.045755768e+02
143,1420017391.304348,-1.045005722e+02
144,1420021739.130435,-1.045450821e+02
145,1420026086.956522,-1.045173416e+02
146,1420030434.782609,-1.044313812e+02
147,1420034782.608696,-1.044191666e+02
148,1420039130.434783,-1.044053802e+02
149,1420043478.260870,-1.042449188e+02
150,1420047826.086957,-1.043145294e+02
151,1420052173.913043,-1.042011719e+02
152,1420056521.739130,-1.041134644e+02
153,1420060869.565217,-1.042052231e+02
154,1420065217.391304,-1.041550827e+02
155,1420069565.217391,-1.040321198e+02
156,1420073913.043478,-1.039920578e+02
157,1420078260.869565,-1.039743958e+02
158,1420082608.695652,-1.039137039e+02
159,1420086956.521739,-1.039375839e+02
160,1420091304.347826,-1.038384399e+02
161,1420095652.173913,-1.037818375e+02
162,1420100000.000000,-1.037929840e+02
163,1420104347.826087,-1.036820450e+02
164,1420108695.652174,-1.036734695e+02
165,1420113043.478261,-1.036137619e+02
166,1420117391.304348,-1.036157913e+02
167,1420121739.130435,-1.035766830e+02
168,1420126086.956522,-1.035341949e+02
169,1420130434.782609,-1.034902649e+02
170,1420134782.608696,-1.034174271e+02
171,1420139130.434783,-1.033939896e+02
172,1420143478.260870,-1.034051895e+02
173,1420147826.086957,-1.033190536e+02
174,1420152173.913043,-1.033165970e+02
175,1420156521.739130,-1.033080902e+02
176,1420160869.565217,-1.032050018e+02
177,1420165217.391304,-1.032646713e+02
178,1420169565.217391,-1.033479843e+02
179,1420173913.043478,-1.033545074e+02
180,1420178260.869565,-1.033274384e+02
181,1420182608.695652,-1.033325882e+02
182,1420186956.521739,-1.033178101e+02
183,1420191304.347826,-1.032649918e+02
