Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.043731842e+02
2,1419404347.826087,-1.042670135e+02
3,1419408695.652174,-1.043435669e+02
4,1419413043.478261,-1.043891907e+02
5,1419417391.304348,-1.045175018e+02
6,1419421739.130435,-1.044990540e+02
7,1419426086.956522,-1.045926361e+02
8,1419430434.782609,-1.046115341e+02
9,1419434782.608696,-1.045249634e+02
10,1419439130.434783,-1.044953613e+02
11,1419443478.260870,-1.044703827e+02
12,1419447826.086957,-1.045635452e+02
13,1419452173.913043,-1.045069275e+02
14,1419456521.739130,-1.045229111e+02
15,1419460869.565217,-1.043691025e+02
16,1419465217.391304,-1.043631363e+02
17,1419469565.217391,-1.043842392e+02
18,1419473913.043478,-1.044782333e+02
19,1419478260.869565,-1.043548279e+02
20,1419482608.695652,-1.043728027e+02
21,1419486956.521739,-1.043936539e+02
22,1419491304.347826,-1.044187546e+02
23,1419495652.173913,-1.043561478e+02
24,1419500000.000000,-1.043740997e+02
25,1419504347.826087,-1.043990784e+02
26,1419508695.652174,-1.044657211e+02
27,1419513043.478261,-1.044288101e+02
28,1419517391.304348,-1.044382248e+02
29,1419521739.130435,-1.044560013e+02
30,1419526086.956522,-1.044208908e+02
31,1419530434.782609,-1.043958893e+02
32,1419534782.608696,-1.045014954e+02
33,1419539130.434783,-1.044760590e+02
34,1419543478.260870,-1.043977509e+02
35,1419547826.086957,-1.045247803e+02
36,1419552173.913043,-1.045413742e+02
37,1419556521.739130,-1.044930267e+02
38,1419560869.565217,-1.044725037e+02
39,1419565217.391304,-1.045475235e+02
40,1419569565.217391,-1.045671768e+02
41,1419573913.043478,-1.044755707e+02
42,1419578260.869565,-1.043940201e+02
43,1419582608.695652,-1.045159607e+02
44,1419586956.521739,-1.044539413e+02
45,1419591304.347826,-1.043889771e+02
46,1419595652.173913,-1.045447388e+02
47,1419600000.000000,-1.045180740e+02
48,1419604347.826087,-1.044554291e+02
49,1419608695.652174,-1.045869980e+02
50,1419613043.478261,-1.044982758e+02
51,1419617391.304348,-1.044672165e+02
52,1419621739.130435,-1.044559708e+02
53,1419626086.956522,-1.045406570e+02
54,1419630434.782609,-1.045706558e+02
55,1419634782.608696,-1.044997482e+02
56,1419639130.434783,-1.045450668e+02
57,1419643478.260870,-1.044542160e+02
58,1419647826.086957,-1.044188766e+02
59,1419652173.913043,-1.044944839e+02
60,1419656521.739130,-1.044577255e+02
61,1419660869.565217,-1.044111557e+02
62,1419665217.391304,-1.044046249e+02
63,1419669565.217391,-1.044135895e+02
64,1419673913.043478,-1.044161682e+02
65,1419678260.869565,-1.044533081e+02
66,1419682608.695652,-1.044822464e+02
67,1419686956.521739,-1.045515366e+02
68,1419691304.347826,-1.044776001e+02
69,1419695652.173913,-1.044460907e+02
70,1419700000.000000,-1.045127640e+02
71,1419704347.826087,-1.045013809e+02
72,1419708695.652174,-1.044466629e+02
73,1419713043.478261,-1.043822784e+02
74,1419717391.304348,-1.044087067e+02
75,1419721739.130435,-1.044125290e+02
76,1419726086.956522,-1.045244980e+02
77,1419730434.782609,-1.044863052e+02
78,1419734782.608696,-1.045207596e+02
79,1419739130.434783,-1.044456100e+02
80,1419743478.260870,-1.044470673e+02
81,1419747826.086957,-1.042909470e+02
82,1419752173.913043,-1.043856125e+02
83,1419756521.739130,-1.044338074e+02
84,1419760869.565217,-1.044827194e+02
85,1419765217.391304,-1.043366928e+02
86,1419769565.217391,-1.044190445e+02
87,1419773913.043478,-1.044303207e+02
88,1419778260.869565,-1.044718704e+02
89,1419782608.695652,-1.044997253e+02
90,1419786956.521739,-1.044878998e+02
91,1419791304.347826,-1.044061279e+02
92,1419795652.173913,-1.044179459e+02
93,1419800000.000000,-1.044336090e+02
94,1419804347.826087,-1.044685287e+02
95,1419808695.652174,-1.045089417e+02
96,1419813043.478261,-1.045227356e+02
97,1419817391.304348,-1.044932709e+02
98,1419821739.130435,-1.045744858e+02
99,1419826086.956522,-1.045112610e+02
100,1419830434.782609,-1.044152145e+02
101,1419834782.608696,-1.044131699e+02
102,1419839130.434783,-1.044508667e+02
103,1419843478.260870,-1.044680710e+02
104,1419847826.086957,-1.044403000e+02
105,1419852173.913043,-1.044693451e+02
106,1419856521.739130,-1.044726181e+02
107,1419860869.565217,-1.044624939e+02
108,1419865217.391304,-1.044608994e+02
109,1419869565.217391,-1.044454117e+02
110,1419873913.043478,-1.043872299e+02
111,1419878260.869565,-1.044700317e+02
112,1419882608.695652,-1.044733429e+02
113,1419886956.521739,-1.044321289e+02
114,1419891304.347826,-1.043865128e+02
115,1419895652.173913,-1.045208588e+02
116,1419900000.000000,-1.046017609e+02
117,1419904347.826087,-1.044759750e+02
118,1419908695.652174,-1.043639145e+02
119,1419913043.478261,-1.045363083e+02
120,1419917391.304348,-1.045426254e+02
121,1419921739.130435,-1.044655075e+02
122,1419926086.956522,-1.044804153e+02
123,1419930434.782609,-1.044180756e+02
124,1419934782.608696,-1.043946838e+02
125,1419939130.434783,-1.043568802e+02
126,1419943478.260870,-1.044527588e+02
127,1419947826.086957,-1.045177078e+02
128,1419952173.913043,-1.044779587e+02
129,1419956521.739130,-1.045172653e+02
130,1419960869.565217,-1.044785385e+02
131,1419965217.391304,-1.044636536e+02
132,1419969565.217391,-1.043800125e+02
133,1419973913.043478,-1.044321442e+02
134,1419978260.869565,-1.043704147e+02
135,1419982608.695652,-1.044086075e+02
136,1419986956.521739,-1.043439407e+02
137,1419991304.347826,-1.043388443e+02
138,1419995652.173913,-1.043269806e+02
139,1420000000.000000,-1.043919525e+02
140,1420004347.826087,-1.043904037e+02
141,1420008695.652174,-1.043275223e+02
142,1420013043.478261,-1.042418365e+02
143,1420017391.304348,-1.043199005e+02
144,1420021739.130435,-1.042168732e+02
145,1420026086.956522,-1.042112732e+02
146,1420030434.782609,-1.040687180e+02
147,1420034782.608696,-1.040874863e+02
148,1420039130.434783,-1.041909943e+02
149,1420043478.260870,-1.040353699e+02
150,1420047826.086957,-1.040056381e+02
151,1420052173.913043,-1.040119553e+02
152,1420056521.739130,-1.038874588e+02
153,1420060869.565217,-1.038171005e+02
154,1420065217.391304,-1.038013153e+02
155,1420069565.217391,-1.038025208e+02
156,1420073913.043478,-1.037099915e+02
157,1420078260.869565,-1.037550507e+02
158,1420082608.695652,-1.036145782e+02
159,1420086956.521739,-1.035519714e+02
160,1420091304.347826,-1.034590454e+02
161,1420095652.173913,-1.033927612e+02
162,1420100000.000000,-1.034805527e+02
163,1420104347.826087,-1.033839111e+02
164,1420108695.652174,-1.033425827e+02
165,1420113043.478261,-1.033641815e+02
166,1420117391.304348,-1.033284836e+02
167,1420121739.130435,-1.032445602e+02
168,1420126086.956522,-1.033402710e+02
169,1420130434.782609,-1.032439728e+02
170,1420134782.608696,-1.032926712e+02
171,1420139130.434783,-1.032341461e+02
172,1420143478.260870,-1.032740631e+02
173,1420147826.086957,-1.032016373e+02
174,1420152173.913043,-1.033125229e+02
175,1420156521.739130,-1.032507248e+02
176,1420160869.565217,-1.032589874e+02
177,1420165217.391304,-1.033115005e+02
178,1420169565.217391,-1.033510208e+02
179,1420173913.043478,-1.033088608e+02
180,1420178260.869565,-1.033717728e+02
181,1420182608.695652,-1.034073181e+02
182,1420186956.521739,-1.034189072e+02
183,1420191304.347826,-1.033517990e+02
